fid,ele,dist_cum,lat,lon
297,1427.03,145161.934016052,33.42616,-116.605781
298,1410.56,145638.852346739,33.42996,-116.603381
299,1337.56,146389.367450385,33.436201,-116.600262
300,1285.81,146709.6164172,33.437657,-116.603236
301,1256.28,147056.216857675,33.440629,-116.604388
302,1231.48,147419.768193539,33.442543,-116.607562
303,1212.06,147648.010708274,33.444543,-116.60814
304,1196.63,147957.697904956,33.44719,-116.60708
305,1162.47,148666.347911667,33.453569,-116.606648
306,1137.72,148983.094983671,33.456002,-116.604864
307,1110.21,149282.442398646,33.458168,-116.602943
308,1084.46,149810.432997226,33.461642,-116.59906
309,1084,150202.050517118,33.463612,-116.595564
310,1101.04,150543.478216847,33.463149,-116.591933
311,1120.56,150911.966070959,33.465938,-116.589779
312,1094.18,151350.619965073,33.469453,-116.587616
313,1087.76,151969.162208959,33.474193,-116.58411
314,1094.14,152491.362232482,33.475656,-116.57877
315,1043.82,153092.088302993,33.479441,-116.574147
316,1049.05,153278.050661929,33.480701,-116.572827
317,1123.41,153680.188972685,33.483468,-116.570031
318,1178.87,154105.402456507,33.486786,-116.567739
319,1212.11,154447.050786984,33.489807,-116.567021
320,1245.01,154719.894272143,33.49222,-116.567592
321,1277.85,155061.954487209,33.494602,-116.56993
322,1256.4,155381.950754958,33.497147,-116.568308
323,1248.38,155761.612548988,33.499971,-116.570617
324,1271.26,156242.593393247,33.50263,-116.574706
325,1301.9,156600.720852256,33.505717,-116.575836
326,1321.05,157067.957401509,33.50824,-116.579863
327,1326.46,157356.535552124,33.509769,-116.582376
328,1339.7,157762.130393217,33.51324,-116.58375
329,1351.39,158175.849082034,33.514848,-116.587768
330,1389.57,158578.705647875,33.518298,-116.589124
331,1429.31,158969.426030129,33.520783,-116.592105
332,1459.44,159351.569427562,33.524016,-116.593527
333,1488.96,159945.304695225,33.52816,-116.589481
334,1461.9,160335.309624641,33.529766,-116.585746
335,1401.33,160558.960583681,33.53177,-116.585479
336,1391.49,160955.00253186,33.53513,-116.586922
337,1453.29,161088.898061891,33.53592,-116.585832
338,1483.24,161342.409414698,33.537644,-116.58404
339,1466.03,161775.584721068,33.539371,-116.579857
340,1443.81,162194.883707142,33.543099,-116.579108
341,1462.54,162500.950686853,33.545639,-116.57782
342,1498.05,162925.047113642,33.549102,-116.575884
343,1508.11,163247.4029788,33.550773,-116.578724
344,1537.69,163644.275741128,33.553669,-116.581234
345,1539.25,164250.909219868,33.558976,-116.579654
346,1499.93,164761.308123756,33.563053,-116.577105
347,1535.07,165495.542977004,33.569569,-116.57571
348,1514.66,165643.375374468,33.570712,-116.576529
349,1502.93,165934.761136262,33.57183,-116.573689
350,1507.16,166177.000257897,33.57378,-116.572514
351,1529.13,166442.305001505,33.576065,-116.571669
352,1535.4,166660.543105773,33.578032,-116.571728
353,1567.03,167099.565584505,33.581983,-116.571443
354,1561.68,167446.599195738,33.585111,-116.571529
355,1576.44,167815.337705542,33.58832,-116.570491
356,1555.29,168002.50118036,33.589849,-116.571344
357,1554.87,168354.059749016,33.592976,-116.570725
358,1597.55,168887.614563327,33.597753,-116.570048
359,1647.28,169444.488973678,33.602409,-116.567803
360,1704.65,170089.686403355,33.607737,-116.565013
361,1729.24,170569.509000778,33.612018,-116.564269
362,1769.89,171332.871798692,33.618428,-116.567264
363,1826.11,172051.103438979,33.624132,-116.5636
364,1889.99,172834.798816393,33.63109,-116.562131
365,1936.75,173475.996634434,33.634892,-116.567337
366,1936.68,173907.410796889,33.638511,-116.569041
367,2048.39,174493.360658281,33.643789,-116.568771
368,2056.02,175411.214041126,33.652059,-116.569122
369,2071.93,176562.255537586,33.662346,-116.570758
370,2066.48,177198.056267924,33.66628,-116.575744
371,2133.96,177849.697344926,33.671019,-116.579897
372,2156.78,178743.886015899,33.676875,-116.586524
373,2151.83,179671.793819199,33.678524,-116.596334
374,2094.14,180180.971078362,33.681684,-116.600317
375,2038.34,180364.808639803,33.683059,-116.601424
376,1947.69,180683.069714347,33.685209,-116.603697
377,1828.76,181382.890300457,33.68987,-116.608784
378,1941.42,182215.410972312,33.696489,-116.613018
379,2048.3,182654.094850298,33.699031,-116.616643
380,2131.79,183044.630021802,33.701633,-116.619481
381,2141.27,183684.07617889,33.707036,-116.621887
382,2237.52,184508.012139648,33.714371,-116.623292
383,2212.76,185209.022325782,33.720445,-116.625382
384,2164.68,185990.158141576,33.726792,-116.629034
385,2130.15,186159.550955421,33.727292,-116.630761
386,2112.66,186575.922242173,33.728509,-116.635011
387,2086.04,187248.407686239,33.732736,-116.640213
388,2159.64,187518.836733867,33.7346,-116.642094
389,2192.69,187982.766286463,33.7379,-116.64517
390,2214.79,188563.373554801,33.743127,-116.645507
391,2288.5,188999.369591525,33.742158,-116.650067
392,2320.91,189375.299070384,33.745384,-116.648823
393,2358.84,189945.882470467,33.750457,-116.647802
394,2449.12,190653.519585716,33.756832,-116.648099
395,2511.72,191121.72147347,33.760489,-116.645575
396,2555.93,191389.67040021,33.762747,-116.646603
